node,environment,(unused),elapsedTime,epoch,iteration,accuracy,f1,precision,recall,gmeasure,mcc,score,before or after averaging,#peers included in current batch
5560, Figure 4.3 - bristle, 0, 48304, 4, 40, 0.84, 0.8290417964102176, 0.8913992869875222, 0.8400000000000001, 0.8466529548396219, 0.8331125379791366, 0.8595286636200004, before, 4
5560, Figure 4.3 - bristle, 0, 48776, 4, 40, 0.75, 0.7927251889801059, 0.8552455170102229, 0.7500000000000001, 0.7354010365384341, NaN, 0.607186266153629, before, -
5564, Figure 4.3 - bristle, 0, 49950, 1, 30, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11069312761505343, 0.6389528330993975, before, 5
5564, Figure 4.3 - bristle, 0, 50383, 1, 30, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11069312761505343, 0.6471144815619905, before, -
5556, Figure 4.3 - bristle, 0, 50529, 4, 40, 0.88, 0.8630715678084101, 0.9124598930481284, 0.8800000000000001, 0.8776586689260574, 0.8678826464880564, 0.7497973661885134, before, 4
5584, Figure 4.3 - bristle, 0, 50738, 6, 60, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.1272791022300041, before, 5
5578, Figure 4.3 - bristle, 0, 50682, 4, 40, 0.86, 0.864455456823878, 0.9007070707070707, 0.86, 0.8722904792287987, 0.858887223629339, 0.9022188779422963, before, 6
5556, Figure 4.3 - bristle, 0, 51871, 4, 40, 0.81, 0.8687410743138296, 0.877938808373591, 0.8099999999999999, 0.7907125682865005, NaN, 0.936607916105996, before, -
5584, Figure 4.3 - bristle, 0, 52145, 6, 60, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.09026676777227194, before, -
5578, Figure 4.3 - bristle, 0, 52093, 4, 40, 0.76, 0.7458122615203411, 0.8581746031746033, 0.7599999999999999, 0.7722027529942775, 0.7531114521197626, 0.5157324878017392, before, -
5574, Figure 4.3 - bristle, 0, 52998, 4, 40, 0.81, 0.8138449189842378, 0.8617401960784312, 0.8099999999999999, 0.8246493589240498, 0.8064045784031384, 0.6199071488118585, before, 8
5582, Figure 4.3 - bristle, 0, 53554, 4, 40, 0.76, 0.7581946920182214, 0.8413992869875223, 0.76, 0.7788374750936569, 0.7573256862191936, 0.6214512552716744, before, 3
5574, Figure 4.3 - bristle, 0, 53717, 4, 40, 0.73, 0.7253508771929825, 0.8338888888888889, 0.7300000000000001, 0.7513060568995025, 0.7283092769767503, 0.6359840399291763, before, -
5572, Figure 4.3 - bristle, 0, 54088, 1, 30, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11090257961686852, 1.1017757113647588, before, 4
5582, Figure 4.3 - bristle, 0, 54220, 4, 40, 0.66, 0.642809774085787, 0.8008482745324852, 0.66, 0.6831902019391999, 0.6554674336068037, 0.6598740094386437, before, -
5572, Figure 4.3 - bristle, 0, 54695, 1, 30, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11090257961686852, 0.8809402680038493, before, -
5554, Figure 4.3 - bristle, 0, 56988, 5, 50, 0.85, 0.8449472713986781, 0.8682350982350983, 0.85, 0.8519657267961765, 0.8370535496389607, 0.6807607677905162, before, 4
5560, Figure 4.3 - bristle, 0, 56990, 5, 50, 0.79, 0.8358308158446239, 0.8604728604728604, 0.7900000000000001, 0.7667175803510264, NaN, 0.8078010230486143, before, 0
5554, Figure 4.3 - bristle, 0, 57421, 5, 50, 0.83, 0.8215535337866742, 0.8552765208647563, 0.8300000000000001, 0.831789104466979, 0.8157139142142666, 0.34437580328348305, before, -
5560, Figure 4.3 - bristle, 0, 57672, 5, 50, 0.74, 0.7782991861939231, 0.8373303427651254, 0.74, 0.7224338879712079, NaN, 0.35109124470203157, before, -
5570, Figure 4.3 - bristle, 0, 57906, 1, 30, 0.03, 0.025, 0.02142857142857143, 0.03, 0.025354627641855497, -0.08084629568443778, 0.8599952556468631, before, 13
5566, Figure 4.3 - bristle, 0, 58363, 5, 50, 0.82, 0.8800254410327981, 0.8743306076639411, 0.8200000000000001, 0.7975922940887092, NaN, 0.6677163554768216, before, 6
5558, Figure 4.3 - bristle, 0, 58258, 5, 50, 0.91, 0.9132038429406851, 0.9270129870129871, 0.9099999999999999, 0.9158438726923149, 0.9064967359820798, 0.8741391008654444, before, 7
5570, Figure 4.3 - bristle, 0, 58559, 1, 30, 0.04, 0.03233333333333333, 0.027142857142857146, 0.04, 0.032946439975116946, -0.07185810592484786, 0.8891536541833558, before, -
5558, Figure 4.3 - bristle, 0, 58726, 5, 50, 0.87, 0.8703460574513204, 0.9138257575757575, 0.8700000000000001, 0.8809224988290776, 0.8691034310846792, 0.4862061529974329, before, -
5566, Figure 4.3 - bristle, 0, 58868, 5, 50, 0.79, 0.8481316866636784, 0.8553310886644221, 0.79, 0.7714181114988224, NaN, 0.6448389075634171, before, -
5580, Figure 4.3 - bristle, 0, 58954, 1, 30, 0.92, 0.9189232439387238, 0.9356709956709957, 0.9199999999999999, 0.9233491124268051, 0.9155436336618543, 0.7130936927169728, before, 10
5580, Figure 4.3 - bristle, 0, 59292, 1, 30, 0.91, 0.909181201084553, 0.9281496281496281, 0.9099999999999999, 0.9140952257111371, 0.9053173272464413, 0.8548445687371071, before, -
5578, Figure 4.3 - bristle, 0, 59822, 5, 50, 0.89, 0.8927637275005698, 0.9118181818181817, 0.8900000000000002, 0.8968132009524812, 0.8856425659395473, 0.3543384234184954, before, 2
5584, Figure 4.3 - bristle, 0, 60115, 7, 70, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.16257473737087139, before, 4
5578, Figure 4.3 - bristle, 0, 60327, 5, 50, 0.84, 0.8329657477025899, 0.8868181818181817, 0.8400000000000002, 0.8473198696011248, 0.8330725516238218, 0.7925250029563268, before, -
5584, Figure 4.3 - bristle, 0, 61309, 7, 70, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.10298411855545184, before, -
5556, Figure 4.3 - bristle, 0, 63277, 5, 50, 0.88, 0.8790404040404042, 0.893452380952381, 0.8799999999999999, 0.8828679254980913, 0.87054384541192, 0.6042474363057696, before, 4
5564, Figure 4.3 - bristle, 0, 63902, 1, 40, 0.01, 0.010000000000000002, 0.01, 0.01, 0.01, -0.09958643763539862, 0.6551445722166158, before, 9
5568, Figure 4.3 - bristle, 0, 63890, 1, 40, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1107254026174526, 0.7828643723687808, before, 2
5556, Figure 4.3 - bristle, 0, 63911, 5, 50, 0.84, 0.834971817135005, 0.9017857142857142, 0.8400000000000001, 0.8519473820391152, 0.8387345446172523, 0.698292945858177, before, -
5564, Figure 4.3 - bristle, 0, 64288, 1, 40, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11079282114476485, 1.0418882934392004, before, -
5574, Figure 4.3 - bristle, 0, 64493, 5, 50, 0.87, 0.8700584795321638, 0.9028535353535354, 0.8700000000000001, 0.8780506495819079, 0.865785405987298, 0.7966580262585126, before, 6
